item_id,order_id,product_id,quantity,unit_price,item_discount,total_price
1,1,1051,1,1034.07,0,1034.07
2,1,67,1,902.9,0,902.9
3,1,387,2,393.96,100.5,687.42
4,1,1432,4,3494.52,201.6,13776.48
5,1,97,1,846.98,0,846.98
6,2,1409,2,2620.64,255.79,4985.49
7,3,1468,3,4834.94,0,14504.82
8,3,1456,1,485.51,0,485.51
9,4,46,1,2371.04,666.33,1704.71
10,4,10,2,1930.49,0,3860.98
11,5,1173,2,2662.85,0,5325.7
12,5,655,1,279.88,70.56,209.32
13,5,670,2,2591.63,0,5183.26
14,6,504,1,3556.24,529.44,3026.8
15,7,663,1,2436.78,0,2436.78
16,7,314,1,3883.25,0,3883.25
17,8,427,2,1214.32,147.99,2280.65
18,9,1132,2,4055.86,0,8111.72
19,9,37,1,4276.29,158.37,4117.92
20,10,165,1,1873.77,0,1873.77
21,10,1023,1,4921.16,1037.42,3883.74
22,10,1460,2,4655,89.77,9220.23
23,10,874,2,3265.04,681.74,5848.34
24,11,425,1,3793.02,0,3793.02
25,12,1142,1,1672.13,0,1672.13
26,12,1212,2,2967.66,0,5935.32
27,13,833,1,4094.56,0,4094.56
28,14,621,1,1630.51,0,1630.51
29,14,895,1,2785.88,235.31,2550.57
30,14,404,3,124.6,18.89,354.91
31,14,1102,2,4261.21,770.53,7751.89
32,14,220,1,2456.76,0,2456.76
33,14,657,1,994.74,0,994.74
34,15,677,2,177.75,38.93,316.57
35,15,1338,1,4218.13,0,4218.13
36,15,742,3,2916.37,0,8749.11
37,15,667,1,1108.89,0,1108.89
38,16,1372,1,3714,0,3714
39,17,884,1,4029.64,31.77,3997.87
40,17,1147,1,1147.22,98.67,1048.55
41,18,984,4,356.53,0,1426.12
42,18,1097,1,1452.74,417.29,1035.45
43,18,1019,1,2036.46,0,2036.46
44,18,485,3,474.74,0,1424.22
45,18,278,2,4741.91,0,9483.82
46,18,1267,1,3245.18,0,3245.18
47,19,66,1,1541.36,0,1541.36
48,19,931,2,2803.03,356.69,5249.37
49,19,819,1,2821.58,0,2821.58
50,20,907,1,3474.98,318.47,3156.51
51,21,1267,1,3245.18,0,3245.18
52,22,776,1,4043.96,196.66,3847.3
53,22,1475,3,546,0,1638
54,22,777,2,3359.15,0,6718.3
55,23,1352,1,4823.43,937.47,3885.96
56,24,218,1,4981.01,0,4981.01
57,24,121,1,1662.22,0,1662.22
58,24,557,2,1226.78,0,2453.56
59,25,253,1,2117.88,0,2117.88
60,26,888,1,1664.15,0,1664.15
61,26,587,1,2061.34,85.64,1975.7
62,26,1426,2,10.74,0.05,21.43
63,26,1427,1,2264,288.18,1975.82
64,26,600,2,1813.94,153.46,3474.42
65,27,290,1,460.48,0,460.48
66,27,405,2,2071.97,0,4143.94
67,28,174,2,1710.14,0,3420.28
68,28,425,2,3793.02,0,7586.04
69,29,927,1,2047.48,0,2047.48
70,29,271,1,4610.12,0,4610.12
71,29,1055,1,1282.81,0,1282.81
72,29,1142,3,1672.13,0,5016.39
73,29,988,1,2481.7,0,2481.7
74,29,747,3,4058.31,0,12174.93
75,30,1444,2,701.69,0,1403.38
76,30,932,2,281.19,17.86,544.52
77,31,233,1,767.3,0,767.3
78,32,897,2,3344.99,0,6689.98
79,33,1416,2,1784.17,302.28,3266.06
80,33,1214,1,1778.69,0,1778.69
81,33,721,1,3036.13,0,3036.13
82,34,1434,1,2259.21,0,2259.21
83,34,638,2,2435.37,0,4870.74
84,34,1087,2,339.14,9.68,668.6
85,35,1100,2,4719.33,0,9438.66
86,36,68,4,1563.87,0,6255.48
87,36,796,1,1855.27,0,1855.27
88,36,354,1,1283.79,0,1283.79
89,36,557,1,1226.78,0,1226.78
90,37,411,1,1161.17,0,1161.17
91,37,1440,2,621.74,20.84,1222.64
92,37,33,3,2614.4,0,7843.2
93,37,698,1,3223.66,0,3223.66
94,37,100,3,2824.36,0,8473.08
95,38,975,2,2940.83,0,5881.66
96,38,1132,1,4055.86,0,4055.86
97,39,1237,1,2917.3,0,2917.3
98,39,116,2,2033.64,0,4067.28
99,40,342,2,4883.55,723.87,9043.23
100,40,1339,3,4937.85,863.48,13950.07
101,40,1110,3,3835,0,11505
102,40,676,1,2182.82,0,2182.82
103,40,346,3,3390.38,0,10171.14
104,41,1282,1,870.42,227.2,643.22
105,42,1252,1,3521.56,0,3521.56
106,42,845,1,3262.6,0,3262.6
107,42,1251,2,3647.31,0,7294.62
108,43,180,1,1466.46,0,1466.46
109,43,881,1,4789.33,0,4789.33
110,43,73,1,2048.29,411.74,1636.55
111,43,1375,1,3231.5,0,3231.5
112,43,677,2,177.75,51.99,303.51
113,44,1316,1,985.46,0,985.46
114,44,229,1,3059.44,673.04,2386.4
115,44,1437,2,2127.31,0,4254.62
116,44,461,2,4928.6,453.69,9403.51
117,45,1364,2,2748.04,321.3,5174.78
118,46,1272,1,3425.41,0,3425.41
119,46,823,1,2522.87,0,2522.87
120,46,521,1,2707.49,425.64,2281.85
121,46,612,1,4762.3,0,4762.3
122,46,565,2,3979.49,0,7958.98
123,46,1419,2,349.13,46.65,651.61
124,47,9,1,2462.84,0,2462.84
125,48,1128,1,4115.87,1106.32,3009.55
126,48,952,2,4291.02,816.16,7765.88
127,48,574,1,2405.54,0,2405.54
128,48,819,2,2821.58,0,5643.16
129,49,785,1,2798.64,0,2798.64
130,49,310,1,2158.56,217.01,1941.55
131,50,1368,3,2277.48,0,6832.44
132,50,18,2,4999.12,0,9998.24
133,50,1313,2,208.32,28.77,387.87
134,51,211,1,751.47,0,751.47
135,51,835,2,3614.83,0,7229.66
