product_id,product_name,category,subcategory,brand,base_price,cost_price,stock_quantity,rating,num_reviews,is_active,added_date
1,Lenovo Smartphones Model-224,Electronics,Smartphones,Lenovo,2191.26,1220.66,2379,4.4,4091,TRUE,10/2/2019
2,Huawei Smartphones Model-618,Electronics,Smartphones,Huawei,860,437.28,1915,4.1,2053,TRUE,10/11/2025
3,Lenovo Smartphones Model-277,Electronics,Smartphones,Lenovo,2507.84,1317.82,2115,4.2,1409,TRUE,2/5/2026
4,Sony Smartphones Model-830,Electronics,Smartphones,Sony,690.4,321.48,4794,4.6,4293,TRUE,5/17/2020
5,Xiaomi Smartphones Model-124,Electronics,Smartphones,Xiaomi,2820.3,1140.22,1006,3,1135,TRUE,3/31/2022
6,Huawei Smartphones Model-364,Electronics,Smartphones,Huawei,4740.9,3209.11,2876,3.5,3956,TRUE,1/28/2023
7,Huawei Smartphones Model-575,Electronics,Smartphones,Huawei,561.21,333.9,3111,3.5,2430,TRUE,9/7/2023
8,Lenovo Smartphones Model-336,Electronics,Smartphones,Lenovo,2949.59,1690.17,808,3.5,2540,TRUE,12/8/2023
9,HP Smartphones Model-905,Electronics,Smartphones,Hp,2462.84,1590.43,3687,4.4,3272,TRUE,4/24/2024
10,HP Smartphones Model-981,Electronics,Smartphones,Hp,1930.49,917.97,3228,2.6,2890,TRUE,2/4/2019
11,Lenovo Smartphones Model-450,Electronics,Smartphones,Lenovo,3359.36,2200.25,1144,4,2546,TRUE,8/6/2022
12,Sony Smartphones Model-472,Electronics,Smartphones,Sony,362.34,151.68,4695,4.1,4254,FALSE,12/7/2024
13,Sony Smartphones Model-613,Electronics,Smartphones,Sony,2970.49,1622.76,1176,3.7,2450,TRUE,8/3/2020
14,Sony Smartphones Model-178,Electronics,Smartphones,Sony,34.68,21.02,4538,3.4,332,FALSE,10/23/2025
15,Sony Smartphones Model-649,Electronics,Smartphones,Sony,2978.61,1609.12,1901,4.1,3537,TRUE,5/23/2019
16,Samsung Smartphones Model-590,Electronics,Smartphones,Samsung,1905.72,842.15,3398,4.7,3537,TRUE,7/20/2025
17,Samsung Smartphones Model-919,Electronics,Smartphones,Samsung,1236.31,815.99,2104,3.1,1589,TRUE,2/6/2025
18,LG Smartphones Model-940,Electronics,Smartphones,Lg,4999.12,3346.05,1980,4.6,647,TRUE,4/3/2020
19,Lenovo Smartphones Model-121,Electronics,Smartphones,Lenovo,1321.6,687.42,2061,3.8,2649,TRUE,11/12/2024
20,Dell Smartphones Model-236,Electronics,Smartphones,Dell,1605.72,977.81,2912,2.9,3216,TRUE,11/8/2022
21,Apple Smartphones Model-521,Electronics,Smartphones,Apple,1389.64,809.58,2072,3.4,4286,TRUE,7/23/2022
22,Apple Smartphones Model-685,Electronics,Smartphones,Apple,4687.92,3112.35,1636,4.1,3737,TRUE,5/13/2026
23,LG Smartphones Model-506,Electronics,Smartphones,Lg,1647.61,1131.2,3539,4.9,2027,TRUE,1/31/2025
24,Canon Smartphones Model-862,Electronics,Smartphones,Canon,1783.45,1000.8,2050,2.7,4373,TRUE,9/1/2022
25,HP Smartphones Model-809,Electronics,Smartphones,Hp,4520.75,1974.66,4777,5,3540,TRUE,12/16/2021
26,HP Smartphones Model-413,Electronics,Smartphones,Hp,4672.01,2757.17,3448,4.3,1377,TRUE,5/31/2023
27,Lenovo Smartphones Model-541,Electronics,Smartphones,Lenovo,1426.95,795.61,2964,4.6,3975,FALSE,2/22/2021
28,HP Smartphones Model-844,Electronics,Smartphones,Hp,2412.12,1571.58,398,2.7,32,TRUE,5/6/2026
29,Dell Smartphones Model-721,Electronics,Smartphones,Dell,4067.82,2553.37,2562,4.6,1042,TRUE,2/8/2021
30,Lenovo Smartphones Model-565,Electronics,Smartphones,Lenovo,4775.99,2137.99,1053,2.8,2992,TRUE,6/1/2025
31,Samsung Smartphones Model-460,Electronics,Smartphones,Samsung,3173.22,1965.18,3135,2.9,2496,TRUE,9/5/2023
32,Sony Laptops Model-196,Electronics,Laptops,Sony,761.02,393.6,3481,3.5,1931,TRUE,12/16/2022
33,Samsung Laptops Model-394,Electronics,Laptops,Samsung,2614.4,1193.69,1077,3.5,2646,TRUE,1/14/2025
34,Apple Laptops Model-114,Electronics,Laptops,Apple,4772.5,2245.49,4051,3.3,4876,TRUE,9/26/2019
35,Huawei Laptops Model-162,Electronics,Laptops,Huawei,4470.9,1977.67,2319,3.8,1553,TRUE,7/21/2019
36,Dell Laptops Model-114,Electronics,Laptops,Dell,1407.3,883.77,4917,3,2021,TRUE,10/12/2024
37,Samsung Laptops Model-755,Electronics,Laptops,Samsung,4276.29,2916.77,4628,4,3814,TRUE,7/26/2020
38,Huawei Laptops Model-409,Electronics,Laptops,Huawei,1356.45,920.16,1656,2.7,98,FALSE,6/6/2024
39,Apple Laptops Model-278,Electronics,Laptops,Apple,3349.68,1576.64,2691,4.3,1978,TRUE,6/25/2024
40,Dell Laptops Model-325,Electronics,Laptops,Dell,3151.7,1723.53,2904,3.4,3611,FALSE,9/23/2019
41,Dell Laptops Model-465,Electronics,Laptops,Dell,645.1,350.12,1845,3.3,2539,TRUE,3/26/2022
42,Dell Laptops Model-284,Electronics,Laptops,Dell,4688.67,3154.26,3328,3.6,2781,TRUE,7/4/2025
43,LG Laptops Model-690,Electronics,Laptops,Lg,3995.2,2490.98,1044,4,1468,FALSE,7/28/2019
44,Sony Laptops Model-454,Electronics,Laptops,Sony,4808.98,2008.52,804,3,2086,TRUE,2/20/2026
45,LG Laptops Model-547,Electronics,Laptops,Lg,2851.28,1275.32,4420,4.9,2707,TRUE,3/25/2022
